Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
7WMMRBB6;journalArticle;2021;"Muller, A.; Poitrimol, C.; Nunes, F.L.D.; Boyé, A.; Curd, A.; Desroy, N.; Firth, L.B.; Bush, L.; Davies, A.J.; Lima, F.P.; Marzloff, M.P.; Meneghesso, C.; Seabra, R.; Dubois, S.F.";Musical Chairs on Temperate Reefs: Species Turnover and Replacement Within Functional Groups Explain Regional Diversity Variation in Assemblages Associated With Honeycomb Worms;Frontiers in Marine Science;;22967745 (ISSN);10.3389/fmars.2021.654141;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106290129&doi=10.3389%2ffmars.2021.654141&partnerID=40&md5=7282343e2662398914b24c7578faebf2;Reef-building species are recognized as having an important ecological role and as generally enhancing the diversity of benthic organisms in marine habitats. However, although these ecosystem engineers have a facilitating role for some species, they may exclude or compete with others. The honeycomb worm Sabellaria alveolata (Linnaeus, 1767) is an important foundation species, commonly found from northwest Ireland to northern Mauritania, whose reef structures increase the physical complexity of the marine benthos, supporting high levels of biodiversity. Local patterns and regional differences in taxonomic and functional diversity were examined in honeycomb worm reefs from 10 sites along the northeastern Atlantic to explore variation in diversity across biogeographic regions and the potential effects of environmental drivers. While taxonomic composition varied across the study sites, levels of diversity remained relatively constant along the European coast. Assemblages showed high levels of species turnover compared to differences in richness, which varied primarily in response to sea surface temperatures and sediment content, the latter suggesting that local characteristics of the reef had a greater effect on community composition than the density of the engineering species. In contrast, the functional composition of assemblages was similar regardless of taxonomic composition or biogeography, with five functional groups being observed in all sites and only small differences in abundance in these groups being detected. Functional groups represented primarily filter-feeders and deposit-feeders, with the notable absence of herbivores, indicating that the reefs may act as biological filters for some species from the local pool of organisms. Redundancy was observed within functional groups that may indicate that honeycomb worm reefs can offer similar niche properties to its associated assemblages across varying environmental conditions. These results highlight the advantages of comparing taxonomic and functional metrics, which allow identification of a number of ecological processes that structure marine communities. © Copyright © 2021 Muller, Poitrimol, Nunes, Boyé, Curd, Desroy, Firth, Bush, Davies, Lima, Marzloff, Meneghesso, Seabra and Dubois.;2021;2023-07-04 07:33:17;2024-01-15 10:36:11;;;;;8;;Front. Mar. Sci.;;;;;;;;English;;;Scopus;;;;;;;"ecosystem engineer; biodiversity; functional diversity; reef; turnover; taxonomic diversity; ECOSYSTEM FUNCTION; GLOBAL PATTERNS; BIOGENIC REEFS; BETA-DIVERSITY; ECOLOGICAL TRAITS; GEOGRAPHIC PATTERNS; LANICE-CONCHILEGA; LATITUDINAL GRADIENTS; MACROBENTHIC COMMUNITIES; SABELLARIA-ALVEOLATA POLYCHAETA; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HWXP893L;journalArticle;2020;"Zelli, E.; Quéré, G.; Lago, N.; Di Franco, G.; Costantini, F.; Rossi, S.; Bramanti, L.";Settlement dynamics and recruitment responses of Mediterranean gorgonians larvae to different crustose coralline algae species;Journal of Experimental Marine Biology and Ecology;;00220981 (ISSN);10.1016/j.jembe.2020.151427;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086712404&doi=10.1016%2fj.jembe.2020.151427&partnerID=40&md5=786ba224e210d1b8c4170692d58b6531;Sessile marine species such as Anthozoans act as ecosystem engineers due to their three-dimensional structure. Gorgonians, in particular, can form dense underwater forests that give shelter to other species increasing local biodiversity. In the last decades, several Mediterranean gorgonian populations have been affected by natural and anthropogenic impacts which drastically reduced their size. However, some species showed unexpected resilience, mainly due to the supply of new individuals. To understand the mechanisms underlying recovery processes, studies on the first life history stages (i.e. larval dispersal, settlement and recruitment) are needed. In tropical coral reefs, crustose coralline algae (CCA) are known to influence coral larvae habitat selection and settlement. This capacity however is not ubiquitous among CCA species and larvae of different coral species may have different preferences. The present work focuses on three Mediterranean gorgonians (Eunicella singularis, Paramuricea clavata and Corallium rubrum) with the objective of quantifying settlement and recruitment in presence of two common CCA species (Litophyllum stictaeforme and Litophyllum incrustans). Results showed that the presence of CCA activates earlier settlement in E. singularis and increases the density of recruits, with different trends for the three species. Our results suggest that CCA should be taken into account in the implementation of conservation strategies. Moreover, a deeper comprehension of settlement mechanisms could help improving restoration techniques based on sexual reproduction. © 2020 Elsevier B.V.;2020;2023-07-04 07:33:22;2024-01-17 09:00:51;;;;;530-531;;J. Exp. Mar. Biol. Ecol.;;;;;;;;English;;;Scopus;;;;;;;"ecosystem engineering; biodiversity; population dynamics; algae; habitat selection; life history; coral; asexual reproduction; coral reef; Paramuricea clavata; Anthozoa; Corallium rubrum; larval transport; anthropogenic effect; sessile species; population size; coralline alga; population decline; Gorgonacea; Eunicella singularis; Gorgonia; human settlement; MASS-MORTALITY; PARAMURICEA-CLAVATA; METAMORPHOSIS; POPULATION; EUNICELLA-SINGULARIS; RUBRUM; LIGHT-INTENSITY; BROADCAST SPAWNING CORALS; PLANULA LARVAE; SEXUAL STRUCTURE; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FHTTLA9Y;journalArticle;2020;"Martinez, L.E.; Bazterrica, M.C.; Hidalgo, F.J.";Influence of complexity and habitat heterogeneity on macrofaunal assemblages provided by an invasive ecosystem engineer in Mar Chiquita coastal lagoon;Estuarine, Coastal and Shelf Science;;02727714 (ISSN);10.1016/j.ecss.2020.107038;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092260670&doi=10.1016%2fj.ecss.2020.107038&partnerID=40&md5=a0a4d1b092f61e2f9f9297bbceb74edf;Invasive ecosystem engineers change habitat attributes and species abundance, affecting the structure of invaded communities. In the Mar Chiquita coastal lagoon (37° 40′S, 57° 23°W), the invasive reef-building polychaete Ficopomatus enigmaticus (Fauvel, 1823) generates a heterogeneous environment with habitats of variable complexity: the reefs themselves (high complexity), the sediment surrounding the reefs (low complexity), and the substrate from the areas without reefs (intermediate complexity). Our objective was to compare the macrofaunal assemblages along the whole complexity gradient. We hypothesized that individuals' abundance, diversity, species richness, and evenness of the macrofaunal assemblages increase with habitat complexity, since more complex habitats may represent greater availability of suitable spaces. The composition of the species assemblage was compared through monthly field samplings in each of the three habitats. Results showed that individuals' abundance increased with habitat complexity. In addition, amphipods were the most abundant group in the reefs, while ostracods were the most abundant group in the sediment surrounding the reefs and that from reef-free areas. However, community parameters were occasionally similar between the reefs and the sediment from reef-free areas, depending on the month considered. Our study suggests that the invasion of F. enigmaticus changed the macrofaunal assemblages and the individuals' abundances by providing a high complexity substrate, but also, and less predictably, by increasing habitat heterogeneity, highlighting the importance of including both dimensions of habitat structure in the study of invasions by ecosystem engineers. © 2020;2020;2023-07-04 07:33:23;2024-01-18 08:29:53;;;;;246;;Estuar. Coast. Shelf Sci.;;;;;;;;English;;;Scopus;;;;;;;"ecosystem engineering; habitat structure; species richness; Argentina; Macrofauna; complexity; Biological invasions; polychaete; Habitat structure; invasive species; Habitat modification; heterogeneity; Soft bottom; coral reef; coastal lagoon; Reef builder polychaete; Sowthwestern Atlantic; community dynamics; Polychaeta; Ficopomatus enigmaticus; Amphipoda; Ostracoda; assembly rule; species evenness; ostracod; Buenos Aires [Argentina]; Mar Chiquita Lagoon; POPULATION-DYNAMICS; BOCCARDIA-PROBOSCIDEA; SW ATLANTIC; REEF-BUILDING POLYCHAETE; FORMING POLYCHAETE; ECOLOGICAL IMPACTS; FICOPOMATUS-ENIGMATICUS FAUVEL; BAHIA BLANCA ESTUARY; HELEOBIA-AUSTRALIS; LAEONEREIS-ACUTA; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B5ZGTQ88;journalArticle;2021;"Fraser, K.M.; Stuart-Smith, R.D.; Ling, S.D.; Edgar, G.J.";Small invertebrate consumers produce consistent size spectra across reef habitats and climatic zones;Oikos;;00301299 (ISSN);10.1111/oik.07652;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096673540&doi=10.1111%2foik.07652&partnerID=40&md5=0f48f143325d48055037fd1cd572c3cd;Changes in invertebrate body size-distributions that follow loss of habitat-forming species can potentially affect a range of ecological processes, including predation and competition. In the marine environment, small crustaceans and other mobile invertebrates (‘epifauna') represent a basal component in reef food webs, with a pivotal secondary production role that is strongly influenced by their body size-distribution. Ongoing degradation of reef habitats that affect invertebrate size-distributions, particularly transformation of coral and kelp habitat to algal turf, may thus fundamentally affect secondary production. Here we explored variation in size spectra of shallow epifaunal assemblages (i.e. the slope and intercept of the linear relationship between log abundance and body size at the assemblage level) across 21 reef microhabitats distributed along an extensive eastern Australian climatic gradient from the tropical northern Great Barrier Reef to cool temperate Tasmania. When aggregated across microhabitats at the site scale, invertebrate body size spectra (0.125–8 mm range) were consistently log-linear (R2 ranging 0.87–0.98). Size spectra differed between, but not within, major groups of microhabitats, and exhibited little variability between tropical and temperate biomes. Nevertheless, size spectra showed significant tropical/temperate differences in slopes for epifauna sampled on macroalgal habitats, and in elevation for soft coral and sponge habitats. Our results reveal epifaunal size spectra to be a highly predictable macro-ecological feature. Given that variation in epifaunal size spectra among groups of microhabitats was greater than variation between tropical and temperate biomes, we postulate that ocean warming will not greatly alter epifaunal size spectra directly. However, transformation of tropical coral and temperate macroalgal habitats to algal turfs due to warming will alter reef food web dynamics through redistribution of the size of prey available to fishes. © 2020 Nordic Society Oikos. Published by John Wiley & Sons Ltd;2021;2023-07-04 07:33:25;2024-01-17 08:43:50;;156-170;;1;130;;Oikos;;;;;;;;English;;;Scopus;;;;;;;"macroalgae; macrofauna; epifauna; predation; Crustacea; food web; body size; Alcyonacea; reef; meiofauna; coral reef; invertebrate; Tasmania; Australia; Porifera; Queensland; Great Barrier Reef; soft coral; sponge; Pisces; Coral Sea; Invertebrata; POPULATION-DENSITY; COMMUNITY STRUCTURE; FISH ASSEMBLAGES; CORAL-REEF; GLOBAL PATTERNS; PREDATION; BODY-SIZE; ALGAL TURFS; TROPHIC IMPORTANCE; BENTHIC CRUSTACEA; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIJA9AQ;journalArticle;2020;"Malyshev, A.V.; Flynn, P.T.; Cox, R.; Duarte, C.; Quijon, P.A.";Community disruption in small biogenic habitats: A coastal invader overcomes habitat complexity to alter community structure;PLoS ONE;;19326203 (ISSN);10.1371/journal.pone.0241116;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094819994&doi=10.1371%2fjournal.pone.0241116&partnerID=40&md5=cc04b216451991fe159c1d20c1d8a640;Non-indigenous species are often identified as threats to native species and communities. Yet, the mechanisms that enable many of these invaders to thrive and alter their newly invaded habitats are still not fully understood. This applies to habitats such as widespread sedimentary shorelines characterized by the presence of scattered biogenic clumps of blue mussels (Mytilus edulis) structurally more complex than bare sediments. In Atlantic Canada, some of these shorelines are numerically dominated by native mud crabs (Dyspanopeus sayi) but have been gradually invaded by the European green crab (Carcinus maenas). This study describes between-habitat (mussel clump vs. bare sediment) differences in density and diversity of invertebrates. It also tests the impact of juvenile green crabs in comparison to native mud crabs using two approaches: First, measuring habitat-related differences in these crabs' feeding rates on a common prey (soft-shell clams, Mya arenaria). Second, measuring their influence on invertebrate communities associated with mussel clumps. The results show that mussel clumps hold higher invertebrate density and diversity than surrounding sedimentary bottoms. In the laboratory, the feeding rates of native mud crabs were dependent on the type of habitat (sand flat > mussel clump), whereas those of green crabs were significantly higher and unrelated to the habitat in which predation occurred. In field experiments, juvenile green crabs were also the only predators that changed community structure in the mussel clump habitat. These results indicate that green crabs can cause a significant impact on native species and communities. Moreover, they suggest that the ability of this species to overcome the refuge provided by complex biogenic habitats for prey may represent an unexplored mechanism to explain this invader's expansion here and elsewhere. © 2020 Malyshev et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.;2020;2023-07-04 07:33:25;2024-01-18 08:46:21;;;;10 October;15;;PLoS ONE;;;;;;;;English;;;Scopus;;;;;;;"Animals; Food Chain; Predatory Behavior; habitat; predation; mussel; sediment; introduced species; community structure; Mytilus edulis; field experiment; predator; Canada; Carcinus maenas; Brachyura; juvenile; feeding; Introduced Species; animal; nonhuman; article; native species; food chain; Mya; IMPACTS; SEDIMENT; ECOSYSTEM ENGINEERS; PREDATORS; MYTILUS-EDULIS; SOFT-BOTTOM; CRAB CARCINUS-MAENAS; INTERTIDAL MUSSEL BEDS; INVASIVE GREEN CRAB; SPATIAL STRUCTURE; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39NEXXBQ;journalArticle;2020;Barnes, R.S.K.;Do different sympatric seagrasses support macrobenthic faunas of differing composition, abundance, biodiversity or patchiness? Macrobenthos in sympatric seagrasses;Marine Environmental Research;;01411136 (ISSN);10.1016/j.marenvres.2020.104983;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083304285&doi=10.1016%2fj.marenvres.2020.104983&partnerID=40&md5=98bd7a5a39587aecfaf32bc54920f4d8;Intertidal macrobenthic assemblages associated with monospecific areas of different sympatric though not syntopic seagrasses [Cymodocea, Halodule, Zostera and Halophila] were investigated in Moreton Bay across a continuous <0.12 ha seagrass area with minimal potentially-confounding environmental variables. Results indicated patterns of unchanging faunal metrics across seagrass types (abundance, richness, diversity, evenness, taxonomic distinctness, and patchiness) but variation in relative proportions of dominant taxa, particularly microgastropods (abundant in Zostera, insignificant in Cymodocea and Halodule). Although assemblage composition varied, faunal dissimilarities (except with Zostera) were very low and of similar magnitudes within and between different 'host' seagrasses. This suggests that such macroecological faunal characteristics are not consequent on the precise local ecosystem engineer but largely reflect those of a common pool of locally available species, so that the differences in animal abundance and biodiversity described in some studies relate not directly to features inherent in the different seagrasses, but to associated habitat variables. © 2020 Elsevier Ltd;2020;2023-07-04 07:33:29;2024-01-22 09:17:32;;;;;160;;Mar. Environ. Res.;;;;;;;;English;;;Scopus;;;;;;;"Seagrass; Biodiversity; Animals; Ecosystem; seagrass; biodiversity; habitat; Ecosystem engineer; ecosystem; abundance; fauna; patchiness; Intertidal; Seagrasses; Zostera; macrobenthos; Environmental variables; community composition; Zosteraceae; Australia; Queensland; Macrobenthic abundance; Macrobenthic biodiversity; Macrobenthic composition; Macrobenthic patchiness; Moreton bay; Sympatry; gastropod; Moreton Bay; animal; nonhuman; Plants (botany); article; Alismatales; Animalia; Assemblage composition; Cymodocea; Habitat variables; Halodule; Halophila; Macro benthos; Macrobenthic fauna; sympatry; DIVERSITY; SPATIAL-PATTERNS; MORETON BAY; SPECIES RICHNESS; COMMUNITY; SYSTEMS; MACROFAUNAL ASSEMBLAGES; BENTHIC MACROFAUNA; QUEENSLAND; INTERTIDAL SEAGRASS; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KJGEMKIG;journalArticle;2020;"Gilson, A.R.; Davies, A.J.";Habitat modification by Ascophyllum canopy negatively impacts macrofaunal communities on soft-sediment shores;Marine Environmental Research;;01411136 (ISSN);10.1016/j.marenvres.2020.105193;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092531678&doi=10.1016%2fj.marenvres.2020.105193&partnerID=40&md5=4468bd38c454fb35553fefdd20af6033;Canopy-forming macroalgae are known to act as ecosystem engineers, altering the physical parameters of the local environment, and as a result, driving changes in local biodiversity. Although a large body of evidence exists regarding macroalgal canopies on intertidal rocky shores, little is known regarding attached perennial species in soft sediment environments. The aim of this study was to assess whether the presence of an Ascophyllum nodosum canopy altered physical parameters, leading to the formation of different environmental conditions in the areas around the canopy and whether this led to changes in the local community. Sediment cores were taken in canopy-present and canopy-absent treatments at four sites over four sampling periods covering winter (November and January) through to spring (March and May) to assess modification of seven physical parameters: particle size, sand/silt/clay content, chlorophyll a, organic carbon, pore water content and temperature, as well as for macrofaunal diversity. Results revealed significant differences between treatments for all variables with the exception of clay content. Areas below the canopy were dominated by a high abundance of opportunistic species indicating a more disturbed environment, with increased levels of organic enrichment, anoxia and scouring found to be the principal sources of physical disturbance. In conclusion, differences in abiotic parameters between canopy and non-canopy areas in soft-sediment environments were driven both directly and indirectly by the presence of the algal canopy. This facilitated an alternative community composition that enhanced biodiversity within algal-sediment shores. © 2020 Elsevier Ltd;2020;2023-07-04 07:33:34;2024-01-22 08:45:40;;;;;162;;Mar. Environ. Res.;;;;;;;;English;;;Scopus;;;;;;;"Ecosystem engineers; Sediments; Biodiversity; Ecosystem; macrofauna; habitat structure; seaweed; biodiversity; Ecosystems; benthos; sediment; ecosystem; algae; brown alga; Ascophyllum; canopy; Seaweed; Habitat modification; biomass; Ascophyllum nodosum; species diversity; Community composition; Benthic communities; Ecological impacts; ecological impact; Organic carbon; Environmental conditions; chlorophyll a; seasonal variation; Physical disturbance; Article; nonhuman; controlled study; species habitat; seashore; Chlorophyll A; particle size; water content; air temperature; Macrofaunal community; organic carbon; Particle size; abiotic factor; Intertidal rocky shores; physical parameters; Abiotic disturbance; ambient air; centrifugation; Disturbed environments; Physical parameters; ALGAE; GROWTH; SECONDARY PRODUCTION; SEAGRASS BEDS; DYNAMICS; ASSEMBLAGES; POPULATION; CAPITELLA-CAPITATA; KELP DETRITUS; MACROALGAL MATS; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNDZ7DUY;journalArticle;2020;"Douglas, E.J.; Townsend, M.; Tait, L.W.; Greenfield, B.L.; Inglis, G.J.; Lohrer, A.M.";Sabella spallanzanii and seafloor biodiversity enhancement in a marine soft-sediment system;Diversity;;14242818 (ISSN);10.3390/D12060228;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089016413&doi=10.3390%2fD12060228&partnerID=40&md5=c1fbe38ffe0ac67f73969429edaf515f;Predicting and managing the potential economic, social, and ecological impacts of bioinvasions is a key goal of non-indigenous species (NIS) research worldwide. The marine fan worm, Sabella spallanzanii, is an ecosystem engineering NIS that forms dense filter-feeding canopies on hard substrata and large clumps of individuals in soft sediment habitats. In this study, we investigated the epifaunal assemblages associated with Sabella clumps of increasing size and complexity from soft-sediment benthic ecosystems in Auckland Harbour, New Zealand. The diversity and abundance of epifaunal taxa increased with clump size. Species accumulation curves suggest that with further increases in Sabella clump size, diversity will continue to increase. There were no differential effects on taxa related to feeding mode or motility despite the potential for Sabella to reduce food to suspension feeders (through competition) and increase food supply to deposit feeders (through biodeposition). Our results provide an example of local biodiversity enhancement by an NIS, though some of the species benefitting from Sabella were themselves non-indigenous or of uncertain origin (cryptogenic/indeterminate). Longer term studies of the impacts of Sabella on native biodiversity and ecosystem functioning, including on food webs, are important next steps. © 2020 by the authors.;2020;2023-07-04 07:33:36;2024-01-22 09:00:07;;;;6;12;;Diversity;;;;;;;;English;;;Scopus;;;;;;;"Biodiversity; ecosystem engineering; epifauna; habitat structure; ecosystem engineer; biodiversity; benthos; Ecosystem engineer; abundance; Non-indigenous species; Epifauna; biological invasion; polychaete; Atrina zelandica; New Zealand; biogenic structure; species diversity; non-indigenous species; Sabella spallanzanii; marine ecosystem; seafloor; filter feeding; North Island; Auckland [North Island]; Biogenic structure; Marine soft-sediment; Sabella; Species accumulation curve; COMMUNITIES; IMPACTS; ABUNDANCE; COMPETITION; FACILITATION; HABITAT COMPLEXITY; ATRINA-ZELANDICA; PORT-PHILLIP BAY; INTRODUCED POLYCHAETE; SUSPENSION-FEEDING BIVALVE; marine soft-sediment; species accumulation curve; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LX28S2B3;journalArticle;2020;"Lamy, T.; Koenigs, C.; Holbrook, S.J.; Miller, R.J.; Stier, A.C.; Reed, D.C.";Foundation species promote community stability by increasing diversity in a giant kelp forest;Ecology;;00129658 (ISSN);10.1002/ecy.2987;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079882399&doi=10.1002%2fecy.2987&partnerID=40&md5=eb150a6c7da794aa746c852bb81da50f;Foundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both. Here we tested the hypothesis that the stability of a marine foundation species, the giant kelp Macrocystis pyrifera, increased the stability of the aggregate biomass of a phylogenetically diverse assemblage of understory algae and sessile invertebrates that compete for space beneath the giant kelp canopy. To achieve this goal, we analyzed an 18-yr time series of the biomass of giant kelp and its associated benthic community collected from 32 plots distributed among nine shallow reefs in the Santa Barbara Channel, USA. We showed that the stability of understory algae and sessile invertebrates was positively and indirectly related to the stability of giant kelp, which primarily resulted from giant kelp's direct positive association with species richness. The stability of all community types was positively related to species richness via increased species stability and species asynchrony. The stabilizing effects of richness were three to four times stronger when algae and invertebrates were considered separately rather than in combination. Our finding that diversity–stability relationships were stronger in communities consisting of species with similar resource requirements suggests that competition for shared resources rather than differential responses to environmental conditions played a more important role in stabilizing the community. Increasing threats to structure-forming foundation species worldwide necessitates a detailed understanding of how they influence their associated community. This study is among the first to show that dampened temporal fluctuations in the biomass of a foundation species is an important determinant of the stability of the complex communities it supports. © 2020 by the Ecological Society of America;2020;2023-07-04 07:33:37;2024-07-16 07:48:05;;;;5;101;;Ecology;;;;;;;;English;;;Scopus;;;;;;;"Animals; Ecosystem; Kelp; foundation species; kelp forest; Invertebrates; biodiversity; species richness; benthos; ecosystem; algae; kelp; Macrocystis pyrifera; community structure; forest; United States; kelp forests; invertebrate; California; understory; Macrocystis; Santa Barbara Channel; environmental conditions; animal; Forests; time series analysis; native species; phylogenetics; Invertebrata; PATTERNS; BIODIVERSITY; CONSEQUENCES; VARIABILITY; RECRUITMENT; FACILITATION; PRODUCTIVITY; community stability; ECOSYSTEM STABILITY; TEMPORAL STABILITY; COMPENSATORY DYNAMICS; diversity-stability relationship; environmental heterogeneity; species asynchrony; diversity–stability relationship; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URW6TU8V;journalArticle;2020;"Gemelli, F.; Johnson, C.R.; Wright, J.T.";Spatial patterns of abundance and shell morphology of two gastropod species associated with different morphologies of an intertidal seaweed;Aquatic Ecology;;13862588 (ISSN);10.1007/s10452-020-09766-w;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081918618&doi=10.1007%2fs10452-020-09766-w&partnerID=40&md5=7faeb62fd1c5f17a8e406381aac7bfa9;Patterns of abundance and shell morphology of intertidal gastropods are typically thought to depend on environmental conditions, but ecosystem engineers such as canopy-forming seaweeds can also influence these traits. The intertidal seaweed Hormosira banksii (H. banksii) is an abundant species and important ecosystem engineer on rocky shores and estuaries in south-east Australia, where it creates thick canopies colonized by a range of invertebrates, particularly gastropods. In Tasmania (southern Australia), H. banksii shows large variability in thallus length and structure, with different algal morphologies on coasts and in estuaries. In this study, individuals of two gastropod species were sampled from different habitats (north coast, east coast and northern estuaries) to: (1) describe the spatial variability in their abundance and shell morphology, and (2) understand if any relationship exists between H. banksii morphology and gastropod shell morphology. Gastropod abundance and morphology were variable, but multivariate analysis suggested a marginal influence of H. banksii morphological traits, particularly vesicle size, on the patterns observed. As the two gastropod species use habitat differently and that different H. banksii morphs occur in different locations, our results suggest that both algal morphology and environmental conditions may affect gastropod abundance and shell morphology across the different habitats. Hence, from these results a model can be developed and tested in subsequent experimental work to tease apart the effects of seaweed morphology from environmental conditions. © 2020, Springer Nature B.V.;2020;2023-07-04 07:33:40;2024-04-17 14:24:03;;653-670;;2;54;;Aquatic Ecol.;;;;;;;;English;;;Scopus;;;;;;;"morphology; seaweed; spatial analysis; shell; Ecosystem engineer; abundance; algae; Morphology; multivariate analysis; Seaweed; intertidal environment; Tasmania; Australia; Gastropod; gastropod; Hormosira banksii; Gastropoda; environmental conditions; Invertebrata; experimental study; eggshell; COMMUNITY STRUCTURE; CORALLINE ALGAE; HABITAT SELECTION; PHENOTYPIC PLASTICITY; WAVE ACTION; FRACTAL DIMENSIONS; ROCKY; HORMOSIRA-BANKSII FUCALES; LITTORINA; PHYSIOLOGICAL STRESS; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KVIZ3L6Z;journalArticle;2020;"Pacheco, A.S.; Andrade, D.G.";Decline of a non-native ecosystem engineer and its replacement with a native on rocky shores: effects on the diversity and structure of benthic communities;Marine Biodiversity;;18671616 (ISSN);10.1007/s12526-019-01033-y;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077615728&doi=10.1007%2fs12526-019-01033-y&partnerID=40&md5=bb1fa8a5c2385fc74bbd90d8f3393385;"Ecosystem engineer species create enhanced habitat resources, and therefore host exceptionally diverse communities. We studied the case of two ecosystem engineers: a non-native ascidian, Pyura praeputialis, and the native mussel, Perumytilus purpuratus, in the rocky shores of Antofagasta Bay, northern Chile. P. praeputialis was once dominant in mid- and low-intertidal zones, but human harvesting has severely reduced the extent of the P. praeputialis band, allowing for competition from P. purpuratus, which subsequently expanded and replaced P. praeputialis. We compared the macrobenthic community structure between these two ecosystem engineers at five sites throughout the bay. Our results suggest not only an important share of species composition between the ecosystem engineers (68.1%) but also dissimilarity due to differential changes in taxa abundance. Taxonomic richness and diversity were always high in both ecosystem engineers when analyzing communities in areas without these engineers. Diversity recorded in P. praeputialis was slightly higher than those in P. purpuratus; however, the re-establishment of the native mussel could prevent a substantial drop in diversity as the invasive bioengineer disappears. From a biogeographical standpoint, all recorded taxa associated with both ecosystem engineers were native, thus allowing us to conclude that P. praeputialis did not further facilitate the presence of invasive species; rather, this bioengineer could be considered a reservoir of native fauna. Our study highlights the importance of the coexistence of multiple ecosystems engineers and their interactions in the maintenance of biodiversity in rocky shores, especially in cases where human disturbance reduces the more dominant but invasive ecosystem engineer. © 2020, Senckenberg Gesellschaft für Naturforschung.";2020;2023-07-04 07:33:43;2024-01-17 10:09:31;;;;1;50;;Mar. Biodiv.;;;;;;;;English;;;Scopus;;;;;;;"Community composition; Indigenous mussels; Invasive ascidians; Spatial competition; Three-dimensional matrices; Ascidiacea; Human disturbance; Pyura praeputialis; Ascidia; BIODIVERSITY; CONSEQUENCES; HABITAT; FACILITATION; MUSSELS; NORTHERN CHILE; TUNICATE PYURA-PRAEPUTIALIS; PERUMYTILUS-PURPURATUS; ANTOFAGASTA BAY; HELLER; done; verified";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
